kod_2014;namn_2014;kod_2018;namn_2018;procent_officiell;andel_av_2014_geo;andel_av_2018_geo;diff_geo_minus_officiell;status;indelning_2018
14801091;Majorna-Linné, Kommendantsängen;14801091;Majorna-Linné, Kommendantsängen;100.0;1.0000;1.0000;-0.0000;bada;O
14801092;Majorna-Linné, Linné;14801092;Majorna-Linné, Linné;56.0;0.4985;0.6259;-0.0615;bada;M
14801092;Majorna-Linné, Linné;14801096;Majorna-Linné, Plantagegatan, m fl;27.7;0.3429;0.5285;0.0659;bada;M
14801092;Majorna-Linné, Linné;14801095;Majorna-Linné, Olivedal;16.3;0.1586;0.1710;-0.0044;bada;M
14801093;Majorna-Linné, Linnéplatsen;14801093;Majorna-Linné, Linnéplatsen;100.0;1.0000;0.8223;-0.0000;bada;M
14801094;Majorna-Linné, Långgatorna;14801094;Majorna-Linné, Långgatorna;64.0;0.9332;1.0000;0.2932;bada;M
14801094;Majorna-Linné, Långgatorna;14801096;Majorna-Linné, Plantagegatan, m fl;36.0;0.0668;0.4715;-0.2932;bada;M
14801095;Majorna-Linné, Olivedal;14801095;Majorna-Linné, Olivedal;47.5;0.6238;0.8290;0.1488;bada;M
14801095;Majorna-Linné, Olivedal;14801092;Majorna-Linné, Linné;31.7;0.2417;0.3741;-0.0753;bada;M
14801095;Majorna-Linné, Olivedal;14801093;Majorna-Linné, Linnéplatsen;20.7;0.1346;0.1777;-0.0724;bada;M
14801096;Majorna-Linné, Risåsen;14801097;Majorna-Linné, Risåsen;100.0;1.0000;1.0000;-0.0000;bada;O
14801097;Majorna-Linné, Sveaplan;14801098;Majorna-Linné, Sveaplan;100.0;1.0000;1.0000;-0.0000;bada;O
14801101;Centrum, Framnäs;14801106;Centrum, Krokslätt, Norra;58.9;0.5857;1.0000;-0.0033;bada;M
14801101;Centrum, Framnäs;14801100;Centrum, Framnäs;31.3;0.3680;0.5383;0.0550;bada;M
14801101;Centrum, Framnäs;14801102;Centrum, Fridkullagatan m fl;9.8;0.0463;0.0355;-0.0517;bada;M
14801102;Centrum, Fredriksdal;14801101;Centrum, Fredriksdal;64.2;0.3880;0.9071;-0.2540;bada;M
14801102;Centrum, Fredriksdal;14801107;Centrum, Krokslätt, Södra;35.8;0.6091;1.0000;0.2511;bada;M
14801103;Centrum, Fridkullagatan m fl;14801102;Centrum, Fridkullagatan m fl;48.8;0.6238;0.4294;0.1358;bada;M
14801103;Centrum, Fridkullagatan m fl;14801100;Centrum, Framnäs;36.7;0.3522;0.4617;-0.0148;bada;M
14801103;Centrum, Fridkullagatan m fl;14801108;Centrum, Mossen;14.4;0.0240;0.1662;-0.1200;bada;M
14801104;Centrum, Getebergsäng;14801103;Centrum, Getebergsäng;100.0;1.0000;1.0000;-0.0000;bada;O
14801105;Centrum, Kristinehöjd;14801104;Centrum, Kristinehöjd, Västra;100.0;1.0000;1.0000;-0.0000;bada;O
14801106;Centrum, Krokslätt;14801105;Centrum, Kristinehöjd, Östra;91.7;0.9437;1.0000;0.0267;bada;M
14801106;Centrum, Krokslätt;14801102;Centrum, Fridkullagatan m fl;8.3;0.0563;0.0601;-0.0267;bada;M
14801107;Centrum, Mossen;14801102;Centrum, Fridkullagatan m fl;16.6;0.7664;0.4750;0.6004;bada;M
14801107;Centrum, Mossen;14801108;Centrum, Mossen;71.0;0.1338;0.8338;-0.5762;bada;M
14801107;Centrum, Mossen;14801101;Centrum, Fredriksdal;12.4;0.0964;0.0929;-0.0276;bada;M
14801108;Centrum, Olofshöjd;14801109;Centrum, Olofshöjd;100.0;1.0000;1.0000;-0.0000;bada;O
14801111;Centrum, Eklanda;14801111;Centrum, Eklanda Norra;60.4;0.6718;1.0000;0.0678;bada;M
14801111;Centrum, Eklanda;14801112;Centrum, Eklanda Södra;39.6;0.3282;0.8047;-0.0678;bada;M
14801112;Centrum, Johanneberg, Nedre;14801114;Centrum, Johanneberg, Västra;26.7;0.8228;0.8924;0.5558;bada;M
14801112;Centrum, Johanneberg, Nedre;14801113;Centrum, Johanneberg, Nedre;73.3;0.1772;1.0000;-0.5558;bada;M
14801113;Centrum, Johanneberg, Södra;14801115;Centrum, Johanneberg, Östra;45.0;0.3846;0.4871;-0.0654;bada;M
14801113;Centrum, Johanneberg, Södra;14801114;Centrum, Johanneberg, Västra;33.6;0.4439;0.1055;0.1079;bada;M
14801113;Centrum, Johanneberg, Södra;14801112;Centrum, Eklanda Södra;21.4;0.1716;0.1953;-0.0424;bada;M
14801114;Centrum, Johanneberg, Övre;14801116;Centrum, Johanneberg, Övre;69.4;0.6778;1.0000;-0.0162;bada;M
14801114;Centrum, Johanneberg, Övre;14801115;Centrum, Johanneberg, Östra;30.6;0.3222;0.5129;0.0162;bada;M
14801121;Centrum, Landala;14801121;Centrum, Landala;100.0;1.0000;1.0000;-0.0000;bada;O
14801122;Centrum, Landalabergen m fl;14801122;Centrum, Landalabergen m fl;100.0;1.0000;1.0000;-0.0000;bada;O
