ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2014;rd;14801035;Majorna-Linné, Marieberg;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;123
2014;rd;14801035;Majorna-Linné, Marieberg;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801035;Majorna-Linné, Marieberg;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801035;Majorna-Linné, Marieberg;Män;Svenska medborgare;30-49;303
2014;rd;14801035;Majorna-Linné, Marieberg;Kvinnor;Svenska medborgare;30-49;327
2014;rd;14801035;Majorna-Linné, Marieberg;Män;Ej svenska medborgare;30-49;0
2014;rd;14801035;Majorna-Linné, Marieberg;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801035;Majorna-Linné, Marieberg;Män;Svenska medborgare;50-64;147
2014;rd;14801035;Majorna-Linné, Marieberg;Kvinnor;Svenska medborgare;50-64;167
2014;rd;14801035;Majorna-Linné, Marieberg;Män;Ej svenska medborgare;50-64;0
2014;rd;14801035;Majorna-Linné, Marieberg;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801035;Majorna-Linné, Marieberg;Män;Svenska medborgare;65-;49
2014;rd;14801035;Majorna-Linné, Marieberg;Kvinnor;Svenska medborgare;65-;65
2014;rd;14801035;Majorna-Linné, Marieberg;Män;Ej svenska medborgare;65-;0
2014;rd;14801035;Majorna-Linné, Marieberg;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Män;Svenska medborgare;18-29 förstagångsväljare;23
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;19
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Män;Svenska medborgare;18-29 ej förstagångsväljare;112
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;153
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Män;Svenska medborgare;30-49;301
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Kvinnor;Svenska medborgare;30-49;255
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Män;Ej svenska medborgare;30-49;0
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Män;Svenska medborgare;50-64;164
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Kvinnor;Svenska medborgare;50-64;183
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Män;Ej svenska medborgare;50-64;0
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Män;Svenska medborgare;65-;187
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Kvinnor;Svenska medborgare;65-;252
2014;rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Män;Ej svenska medborgare;65-;0
